Goethite,Class,PreFenton_HW,PreFenton_SW,PostFenton_HW,PostFenton_SW
PreGoethite,AminoSugar,0.021 ± 0.001,0.022 ± 0,0.033 ± 0,0.045 ± 0.008
PreGoethite,Carb,0.053 ± 0.001,0.043 ± 0.001,0.156 ± 0.003,0.139 ± 0.034
PreGoethite,ConHC,0.021 ± 0,0.019 ± 0,0.013 ± 0.001,0.013 ± 0.003
PreGoethite,Lignin,0.601 ± 0.008,0.578 ± 0.006,0.554 ± 0.002,0.516 ± 0.021
PreGoethite,Lipid,0.02 ± 0.001,0.023 ± 0.001,0.002 ± 0,0.008 ± 0.005
PreGoethite,Protein,0.197 ± 0.007,0.243 ± 0.006,0.109 ± 0.002,0.18 ± 0.023
PreGoethite,Tannin,0.087 ± 0.001,0.071 ± 0.001,0.133 ± 0.002,0.1 ± 0.01
PreGoethite,total,1 ± 0,1 ± 0,1 ± 0,1 ± 0
PostGoethite,AminoSugar,0.031 ± 0.001,0.03 ± 0,0.04 ± 0,0.056 ± 0.003
PostGoethite,Carb,0.074 ± 0.003,0.04 ± 0.001,0.098 ± 0.001,0.078 ± 0.002
PostGoethite,ConHC,0.005 ± 0.001,0.001 ± 0,0 ± 0,0 ± 0
PostGoethite,Lignin,0.562 ± 0.001,0.495 ± 0.005,0.539 ± 0.008,0.472 ± 0.009
PostGoethite,Lipid,0.034 ± 0.001,0.041 ± 0.001,0.021 ± 0.002,0.024 ± 0.002
PostGoethite,Protein,0.27 ± 0.004,0.385 ± 0.004,0.278 ± 0.008,0.355 ± 0.011
PostGoethite,Tannin,0.024 ± 0.001,0.009 ± 0,0.025 ± 0.001,0.015 ± 0
PostGoethite,total,1 ± 0,1 ± 0,1 ± 0,1 ± 0
